,LocationDesc,Data_Value_Alt,Cluster
226,California,146.0,0
227,California,57.0,1
228,California,33.0,1
229,California,48.0,1
230,California,150.0,0
231,California,739.0,2
232,California,232.0,0
233,California,801.0,2
234,California,242.0,0
235,California,75.0,1
236,California,115.0,0
237,California,362.0,4
238,California,12.0,1
239,California,33.0,1
240,California,1144.0,2
241,California,2701.0,3
242,California,22.0,1
243,California,57.0,1
244,California,341.0,4
245,California,344.0,4
246,California,52.0,1
247,California,141.0,0
248,California,39.0,1
249,California,38.0,1
250,California,492.0,4
251,California,265.0,0
252,California,46.0,1
253,California,15.0,1
254,California,43.0,1
255,California,99.0,1
256,California,126.0,0
257,California,66.0,1
258,California,102.0,1
259,California,352.0,4
260,California,618.0,4
261,California,961.0,2
262,California,213.0,0
263,California,243.0,0
264,California,419.0,4
265,California,438.0,4
266,California,11.0,1
267,California,17.0,1
268,California,10.0,1
269,California,40.0,1
270,California,13.0,1
271,California,45.0,1
272,Colorado,16.0,1
273,Colorado,41.0,1
274,Colorado,163.0,0
275,Colorado,86.0,1
276,Colorado,155.0,0
277,Colorado,44.0,1
278,Colorado,15.0,1
279,Colorado,37.0,1
280,Colorado,25.0,1
281,Colorado,82.0,1
282,Colorado,220.0,0
283,Colorado,65.0,1
284,Colorado,129.0,0
285,Colorado,57.0,1
286,Colorado,34.0,1
287,Colorado,73.0,1
288,Colorado,202.0,0
289,Colorado,397.0,4
290,Colorado,31.0,1
291,Colorado,21.0,1
292,Colorado,73.0,1
293,Colorado,57.0,1
294,Colorado,91.0,1
295,Colorado,16.0,1
296,Colorado,19.0,1
297,Colorado,11.0,1
298,Colorado,13.0,1
299,Colorado,63.0,1
300,Colorado,75.0,1
301,Colorado,16.0,1
302,Colorado,41.0,1
303,Colorado,163.0,0
304,Colorado,86.0,1
305,Colorado,155.0,0
306,Colorado,44.0,1
307,Colorado,15.0,1
308,Colorado,37.0,1
309,Colorado,25.0,1
310,Colorado,82.0,1
311,Colorado,220.0,0
312,Colorado,65.0,1
313,Colorado,129.0,0
314,Colorado,57.0,1
315,Colorado,34.0,1
316,Colorado,73.0,1
317,Colorado,202.0,0
318,Colorado,397.0,4
319,Colorado,55.0,1
320,Colorado,15.0,1
321,Colorado,12.0,1
322,Colorado,19.0,1
323,Colorado,12.0,1
324,Colorado,42.0,1
325,Colorado,66.0,1
326,Colorado,98.0,1
327,Colorado,28.0,1
328,Colorado,33.0,1
329,Colorado,63.0,1
330,Colorado,75.0,1
331,Connecticut,14.0,1
332,Connecticut,31.0,1
333,Connecticut,208.0,0
334,Connecticut,70.0,1
335,Connecticut,32.0,1
336,Connecticut,89.0,1
337,Connecticut,10.0,1
338,Connecticut,37.0,1
339,Connecticut,25.0,1
340,Connecticut,72.0,1
341,Connecticut,19.0,1
342,Connecticut,52.0,1
343,Connecticut,129.0,0
344,Connecticut,59.0,1
345,Connecticut,22.0,1
346,Connecticut,21.0,1
347,Connecticut,65.0,1
348,Connecticut,32.0,1
349,Connecticut,67.0,1
350,Connecticut,11.0,1
351,Connecticut,15.0,1
352,Connecticut,43.0,1
353,Connecticut,58.0,1
354,Connecticut,14.0,1
355,Connecticut,31.0,1
356,Connecticut,208.0,0
357,Connecticut,70.0,1
358,Connecticut,32.0,1
359,Connecticut,89.0,1
360,Connecticut,10.0,1
361,Connecticut,37.0,1
362,Connecticut,25.0,1
363,Connecticut,72.0,1
364,Connecticut,19.0,1
365,Connecticut,52.0,1
366,Connecticut,129.0,0
367,Connecticut,59.0,1
368,Connecticut,40.0,1
369,Connecticut,13.0,1
370,Connecticut,18.0,1
371,Connecticut,12.0,1
372,Connecticut,37.0,1
373,Connecticut,48.0,1
374,Connecticut,56.0,1
375,Connecticut,21.0,1
376,Connecticut,27.0,1
377,Connecticut,43.0,1
378,Connecticut,58.0,1
379,Delaware,28.0,1
380,Delaware,66.0,1
381,Delaware,13.0,1
382,Delaware,26.0,1
383,Delaware,12.0,1
384,Delaware,16.0,1
385,Delaware,16.0,1
386,Delaware,24.0,1
387,Delaware,28.0,1
388,Delaware,66.0,1
389,Delaware,13.0,1
390,Delaware,26.0,1
391,Delaware,12.0,1
392,Delaware,12.0,1
393,Delaware,21.0,1
394,Delaware,16.0,1
395,Delaware,24.0,1
396,District of Columbia,19.0,1
397,District of Columbia,53.0,1
398,District of Columbia,11.0,1
399,District of Columbia,23.0,1
400,District of Columbia,22.0,1
401,District of Columbia,39.0,1
402,District of Columbia,19.0,1
403,District of Columbia,53.0,1
404,District of Columbia,11.0,1
405,District of Columbia,23.0,1
406,District of Columbia,11.0,1
407,District of Columbia,29.0,1
408,District of Columbia,36.0,1
409,Florida,32.0,1
410,Florida,85.0,1
411,Florida,389.0,4
412,Florida,842.0,2
413,Florida,247.0,0
414,Florida,28.0,1
415,Florida,62.0,1
416,Florida,813.0,2
417,Florida,10.0,1
418,Florida,14.0,1
419,Florida,27.0,1
420,Florida,90.0,1
421,Florida,105.0,1
422,Florida,48.0,1
423,Florida,20.0,1
424,Florida,26.0,1
425,Florida,121.0,0
426,Florida,457.0,4
427,Florida,182.0,0
428,Florida,609.0,4
429,Florida,145.0,0
430,Florida,46.0,1
431,Florida,128.0,0
432,Florida,367.0,4
433,Florida,1165.0,2
434,Florida,547.0,4
435,Florida,14.0,1
436,Florida,43.0,1
437,Florida,131.0,0
438,Florida,159.0,0
439,Florida,21.0,1
440,Florida,16.0,1
441,Florida,65.0,1
442,Florida,19.0,1
443,Florida,291.0,0
444,Florida,155.0,0
445,Florida,21.0,1
446,Florida,12.0,1
447,Florida,36.0,1
448,Florida,37.0,1
449,Florida,19.0,1
450,Florida,41.0,1
451,Florida,163.0,0
452,Florida,522.0,4
453,Florida,361.0,4
454,Florida,483.0,4
455,Florida,81.0,1
456,Florida,90.0,1
457,Florida,117.0,0
458,Florida,158.0,0
459,Florida,330.0,4
460,Florida,459.0,4
461,Florida,32.0,1
462,Florida,85.0,1
463,Florida,389.0,4
464,Florida,842.0,2
465,Florida,247.0,0
466,Florida,813.0,2
467,Florida,10.0,1
468,Florida,14.0,1
469,Florida,27.0,1
470,Florida,90.0,1
471,Florida,105.0,1
472,Florida,48.0,1
473,Florida,20.0,1
474,Florida,26.0,1
475,Florida,121.0,0
476,Florida,457.0,4
477,Florida,182.0,0
478,Florida,609.0,4
479,Florida,145.0,0
480,Florida,46.0,1
481,Florida,128.0,0
482,Florida,367.0,4
483,Florida,1165.0,2
484,Florida,547.0,4
485,Florida,14.0,1
486,Florida,43.0,1
487,Florida,230.0,0
488,Florida,267.0,0
489,Florida,37.0,1
490,Florida,120.0,0
491,Florida,32.0,1
492,Florida,21.0,1
493,Florida,313.0,4
494,Florida,232.0,0
495,Florida,36.0,1
496,Florida,12.0,1
497,Florida,36.0,1
498,Florida,66.0,1
499,Florida,34.0,1
500,Florida,70.0,1
501,Florida,306.0,4
502,Florida,91.0,1
503,Florida,349.0,4
504,Florida,590.0,4
505,Florida,139.0,0
506,Florida,150.0,0
507,Florida,330.0,4
508,Florida,459.0,4
509,Georgia,11.0,1
510,Georgia,38.0,1
511,Georgia,140.0,0
512,Georgia,242.0,0
513,Georgia,110.0,1
514,Georgia,12.0,1
515,Georgia,26.0,1
516,Georgia,328.0,4
517,Georgia,18.0,1
518,Georgia,43.0,1
519,Georgia,18.0,1
520,Georgia,29.0,1
521,Georgia,292.0,0
522,Georgia,65.0,1
523,Georgia,269.0,0
524,Georgia,78.0,1
525,Georgia,104.0,1
526,Georgia,27.0,1
527,Georgia,106.0,1
528,Georgia,35.0,1
529,Georgia,140.0,0
530,Georgia,327.0,4
531,Georgia,48.0,1
532,Georgia,12.0,1
533,Georgia,119.0,0
534,Georgia,34.0,1
535,Georgia,167.0,0
536,Georgia,207.0,0
537,Georgia,34.0,1
538,Georgia,38.0,1
539,Georgia,17.0,1
540,Georgia,28.0,1
541,Georgia,152.0,0
542,Georgia,199.0,0
543,Georgia,11.0,1
544,Georgia,38.0,1
545,Georgia,140.0,0
546,Georgia,242.0,0
547,Georgia,110.0,1
548,Georgia,328.0,4
549,Georgia,18.0,1
550,Georgia,43.0,1
551,Georgia,18.0,1
552,Georgia,29.0,1
553,Georgia,292.0,0
554,Georgia,65.0,1
555,Georgia,269.0,0
556,Georgia,78.0,1
557,Georgia,104.0,1
558,Georgia,27.0,1
559,Georgia,106.0,1
560,Georgia,35.0,1
561,Georgia,140.0,0
562,Georgia,327.0,4
563,Georgia,87.0,1
564,Georgia,13.0,1
565,Georgia,98.0,1
566,Georgia,13.0,1
567,Georgia,78.0,1
568,Georgia,23.0,1
569,Georgia,14.0,1
570,Georgia,27.0,1
571,Georgia,19.0,1
572,Georgia,69.0,1
573,Georgia,146.0,0
574,Georgia,287.0,0
575,Georgia,60.0,1
576,Georgia,66.0,1
577,Georgia,152.0,0
578,Georgia,199.0,0
579,Hawaii,14.0,1
580,Hawaii,40.0,1
581,Hawaii,11.0,1
582,Hawaii,34.0,1
583,Hawaii,10.0,1
584,Hawaii,38.0,1
585,Hawaii,14.0,1
586,Hawaii,41.0,1
587,Hawaii,25.0,1
588,Hawaii,25.0,1
589,Hawaii,17.0,1
590,Hawaii,22.0,1
591,Hawaii,14.0,1
592,Hawaii,40.0,1
593,Hawaii,11.0,1
594,Hawaii,34.0,1
595,Hawaii,10.0,1
596,Hawaii,38.0,1
597,Hawaii,14.0,1
598,Hawaii,41.0,1
599,Hawaii,12.0,1
600,Hawaii,18.0,1
601,Hawaii,39.0,1
602,Hawaii,11.0,1
603,Hawaii,13.0,1
604,Hawaii,17.0,1
605,Hawaii,22.0,1
606,Idaho,25.0,1
607,Idaho,36.0,1
608,Idaho,17.0,1
609,Idaho,55.0,1
610,Idaho,19.0,1
611,Idaho,70.0,1
612,Idaho,107.0,1
613,Idaho,57.0,1
614,Idaho,15.0,1
615,Idaho,23.0,1
616,Idaho,18.0,1
617,Idaho,18.0,1
618,Idaho,25.0,1
619,Idaho,36.0,1
620,Idaho,17.0,1
621,Idaho,55.0,1
622,Idaho,19.0,1
623,Idaho,70.0,1
624,Idaho,107.0,1
625,Idaho,57.0,1
626,Idaho,15.0,1
627,Idaho,16.0,1
628,Idaho,24.0,1
629,Idaho,18.0,1
630,Idaho,18.0,1
631,Illinois,17.0,1
632,Illinois,54.0,1
633,Illinois,200.0,0
634,Illinois,487.0,4
635,Illinois,308.0,4
636,Illinois,92.0,1
637,Illinois,22.0,1
638,Illinois,65.0,1
639,Illinois,17.0,1
640,Illinois,27.0,1
641,Illinois,398.0,4
642,Illinois,64.0,1
643,Illinois,266.0,0
644,Illinois,74.0,1
645,Illinois,18.0,1
646,Illinois,54.0,1
647,Illinois,207.0,0
648,Illinois,62.0,1
649,Illinois,182.0,0
650,Illinois,439.0,4
651,Illinois,75.0,1
652,Illinois,12.0,1
653,Illinois,90.0,1
654,Illinois,11.0,1
655,Illinois,134.0,0
656,Illinois,12.0,1
657,Illinois,75.0,1
658,Illinois,20.0,1
659,Illinois,14.0,1
660,Illinois,25.0,1
661,Illinois,243.0,0
662,Illinois,66.0,1
663,Illinois,189.0,0
664,Illinois,265.0,0
665,Illinois,48.0,1
666,Illinois,53.0,1
667,Illinois,30.0,1
668,Illinois,45.0,1
669,Illinois,164.0,0
670,Illinois,221.0,0
671,New Hampshire,13.0,1
672,Illinois,17.0,1
673,Illinois,54.0,1
674,Illinois,200.0,0
675,Illinois,487.0,4
676,Illinois,308.0,4
677,Illinois,92.0,1
678,Illinois,22.0,1
679,Illinois,65.0,1
680,Illinois,17.0,1
681,Illinois,27.0,1
682,Illinois,398.0,4
683,Illinois,64.0,1
