,LocationDesc,Data_Value_Alt_cluster,Cluster,Data_Value_Alt_state_avg
133,Alabama,13.0,0,931.0867579908676
134,Alabama,13.0,0,931.0867579908676
135,Alabama,20.0,0,931.0867579908676
136,Alabama,33.0,0,931.0867579908676
137,Alabama,113.0,0,931.0867579908676
138,Alabama,15.0,0,931.0867579908676
139,Alabama,204.0,0,931.0867579908676
140,Alabama,22.0,0,931.0867579908676
141,Alabama,251.0,0,931.0867579908676
142,Alabama,32.0,0,931.0867579908676
143,Alabama,47.0,0,931.0867579908676
144,Alabama,68.0,0,931.0867579908676
145,Alabama,150.0,0,931.0867579908676
146,Alabama,190.0,0,931.0867579908676
147,Alabama,37.0,0,931.0867579908676
148,Alabama,39.0,0,931.0867579908676
149,Alabama,49.0,0,931.0867579908676
150,Alabama,50.0,0,931.0867579908676
151,Alabama,11.0,0,931.0867579908676
152,Alabama,17.0,0,931.0867579908676
153,Alabama,36.0,0,931.0867579908676
154,Alabama,12.0,0,931.0867579908676
155,Alabama,30.0,0,931.0867579908676
156,Alabama,38.0,0,931.0867579908676
157,Alabama,50.0,0,931.0867579908676
158,Alabama,133.0,0,931.0867579908676
159,Alabama,182.0,0,931.0867579908676
160,Alabama,251.0,0,931.0867579908676
161,Alabama,55.0,0,931.0867579908676
162,Alabama,56.0,0,931.0867579908676
163,Alabama,69.0,0,931.0867579908676
164,Alabama,10.0,0,931.0867579908676
165,Alabama,10.0,0,931.0867579908676
166,Alabama,23.0,0,931.0867579908676
167,Alabama,37.0,0,931.0867579908676
168,Alabama,37.0,0,931.0867579908676
169,Alabama,17.0,0,931.0867579908676
170,Alabama,34.0,0,931.0867579908676
171,Alabama,55.0,0,931.0867579908676
172,Alabama,17.0,0,931.0867579908676
173,Alabama,27.0,0,931.0867579908676
174,Alabama,14.0,0,931.0867579908676
175,Alabama,22.0,0,931.0867579908676
176,Alabama,34.0,0,931.0867579908676
177,Alabama,58.0,0,931.0867579908676
178,Alabama,19.0,0,931.0867579908676
179,Alabama,31.0,0,931.0867579908676
180,Alabama,53.0,0,931.0867579908676
181,Alabama,11.0,0,931.0867579908676
182,Alabama,11.0,0,931.0867579908676
183,Alabama,17.0,0,931.0867579908676
184,Alabama,19.0,0,931.0867579908676
185,Alabama,12.0,0,931.0867579908676
186,Alabama,36.0,0,931.0867579908676
187,Alabama,51.0,0,931.0867579908676
188,Alabama,100.0,0,931.0867579908676
189,Alabama,11.0,0,931.0867579908676
190,Alabama,145.0,0,931.0867579908676
191,Alabama,33.0,0,931.0867579908676
192,Alabama,46.0,0,931.0867579908676
193,Alabama,99.0,0,931.0867579908676
194,Alabama,14.0,0,931.0867579908676
195,Alabama,26.0,0,931.0867579908676
196,Alabama,35.0,0,931.0867579908676
197,Alabama,42.0,0,931.0867579908676
198,Alabama,61.0,0,931.0867579908676
199,Alabama,11.0,0,931.0867579908676
200,Alabama,14.0,0,931.0867579908676
201,Alabama,104.0,0,931.0867579908676
202,Alabama,109.0,0,931.0867579908676
203,Alabama,121.0,0,931.0867579908676
204,Alabama,143.0,0,931.0867579908676
205,Alabama,25.0,0,931.0867579908676
206,Alabama,252.0,0,931.0867579908676
207,Alabama,12.0,0,931.0867579908676
208,Alabama,12.0,0,931.0867579908676
209,Alabama,1109.0,3,931.0867579908676
210,Alabama,1206.0,3,931.0867579908676
211,Alabama,2315.0,1,931.0867579908676
212,Alabama,1109.0,3,931.0867579908676
213,Alabama,1099.0,3,931.0867579908676
214,Alabama,2208.0,1,931.0867579908676
215,Alabama,85.0,0,931.0867579908676
216,Alabama,2.0,0,931.0867579908676
217,Alabama,87.0,0,931.0867579908676
218,Alabama,278.0,0,931.0867579908676
219,Alabama,358.0,0,931.0867579908676
220,Alabama,635.0,3,931.0867579908676
221,Alabama,278.0,0,931.0867579908676
222,Alabama,352.0,0,931.0867579908676
223,Alabama,630.0,3,931.0867579908676
224,Alabama,19.0,0,931.0867579908676
225,Alabama,1.0,0,931.0867579908676
226,Alabama,20.0,0,931.0867579908676
227,Alabama,831.0,3,931.0867579908676
228,Alabama,848.0,3,931.0867579908676
229,Alabama,1680.0,1,931.0867579908676
230,Alabama,831.0,3,931.0867579908676
231,Alabama,747.0,3,931.0867579908676
232,Alabama,1579.0,1,931.0867579908676
233,Alabama,66.0,0,931.0867579908676
234,Alabama,1.0,0,931.0867579908676
235,Alabama,67.0,0,931.0867579908676
236,Alabama,62.0,0,931.0867579908676
237,Alabama,2.0,0,931.0867579908676
238,Alabama,64.0,0,931.0867579908676
239,Alabama,62.0,0,931.0867579908676
240,Alabama,2.0,0,931.0867579908676
241,Alabama,64.0,0,931.0867579908676
242,Alabama,360.0,0,931.0867579908676
243,Alabama,23.0,0,931.0867579908676
244,Alabama,383.0,0,931.0867579908676
245,Alabama,360.0,0,931.0867579908676
246,Alabama,21.0,0,931.0867579908676
247,Alabama,381.0,0,931.0867579908676
248,Alabama,313.0,0,931.0867579908676
249,Alabama,141.0,0,931.0867579908676
250,Alabama,454.0,3,931.0867579908676
251,Alabama,313.0,0,931.0867579908676
252,Alabama,130.0,0,931.0867579908676
253,Alabama,443.0,0,931.0867579908676
254,Alabama,248.0,0,931.0867579908676
255,Alabama,458.0,3,931.0867579908676
256,Alabama,705.0,3,931.0867579908676
257,Alabama,248.0,0,931.0867579908676
258,Alabama,417.0,0,931.0867579908676
259,Alabama,665.0,3,931.0867579908676
260,Alabama,126.0,0,931.0867579908676
261,Alabama,582.0,3,931.0867579908676
262,Alabama,709.0,3,931.0867579908676
263,Alabama,126.0,0,931.0867579908676
264,Alabama,529.0,3,931.0867579908676
265,Alabama,656.0,3,931.0867579908676
266,Alaska,11.0,0,250.17521367521368
267,Alaska,11.0,0,250.17521367521368
268,Alaska,17.0,0,250.17521367521368
269,Alaska,28.0,0,250.17521367521368
270,Alaska,11.0,0,250.17521367521368
271,Alaska,12.0,0,250.17521367521368
272,Alaska,13.0,0,250.17521367521368
273,Alaska,24.0,0,250.17521367521368
274,Alaska,35.0,0,250.17521367521368
275,Alaska,11.0,0,250.17521367521368
276,Alaska,30.0,0,250.17521367521368
277,Alaska,12.0,0,250.17521367521368
278,Alaska,29.0,0,250.17521367521368
279,Alaska,10.0,0,250.17521367521368
280,Alaska,11.0,0,250.17521367521368
281,Alaska,19.0,0,250.17521367521368
282,Alaska,36.0,0,250.17521367521368
283,Alaska,47.0,0,250.17521367521368
284,Alaska,12.0,0,250.17521367521368
285,Alaska,19.0,0,250.17521367521368
286,Alaska,12.0,0,250.17521367521368
287,Alaska,22.0,0,250.17521367521368
288,Alaska,14.0,0,250.17521367521368
289,Alaska,25.0,0,250.17521367521368
290,Alaska,41.0,0,250.17521367521368
291,Alaska,44.0,0,250.17521367521368
292,Alaska,46.0,0,250.17521367521368
293,Alaska,90.0,0,250.17521367521368
294,Alaska,12.0,0,250.17521367521368
295,Alaska,13.0,0,250.17521367521368
296,Alaska,18.0,0,250.17521367521368
297,Alaska,11.0,0,250.17521367521368
298,Alaska,11.0,0,250.17521367521368
299,Alaska,17.0,0,250.17521367521368
